date_id, file_name, date
495,WEBPXTICK_DT-20110630.gz,20110630
496,WEBPXTICK_DT-20110629.gz,20110629
497,WEBPXTICK_DT-20110628.gz,20110628
498,WEBPXTICK_DT-20110627.gz,20110627
499,WEBPXTICK_DT-20110624.gz,20110624
500,WEBPXTICK_DT-20110623.gz,20110623
501,WEBPXTICK_DT-20110622.gz,20110622
502,WEBPXTICK_DT-20110621.gz,20110621
503,WEBPXTICK_DT-20110620.gz,20110620
504,WEBPXTICK_DT-20110617.gz,20110617
505,WEBPXTICK_DT-20110616.gz,20110616
506,WEBPXTICK_DT-20110615.gz,20110615
507,WEBPXTICK_DT-20110614.gz,20110614
508,WEBPXTICK_DT-20110613.gz,20110613
509,WEBPXTICK_DT-20110610.gz,20110610
510,WEBPXTICK_DT-20110609.gz,20110609
511,WEBPXTICK_DT-20110608.gz,20110608
512,WEBPXTICK_DT-20110607.gz,20110607
513,WEBPXTICK_DT-20110606.gz,20110606
514,WEBPXTICK_DT-20110603.gz,20110603
515,WEBPXTICK_DT-20110602.gz,20110602
516,WEBPXTICK_DT-20110601.gz,20110601
517,WEBPXTICK_DT-20110531.gz,20110531
518,WEBPXTICK_DT-20110530.gz,20110530
519,WEBPXTICK_DT-20110527.gz,20110527
520,WEBPXTICK_DT-20110526.gz,20110526
521,WEBPXTICK_DT-20110525.gz,20110525
522,WEBPXTICK_DT-20110524.gz,20110524
523,WEBPXTICK_DT-20110523.gz,20110523
524,WEBPXTICK_DT-20110520.gz,20110520
525,WEBPXTICK_DT-20110519.gz,20110519
526,WEBPXTICK_DT-20110518.gz,20110518
527,WEBPXTICK_DT-20110517.gz,20110517
528,WEBPXTICK_DT-20110516.gz,20110516
529,WEBPXTICK_DT-20110513.gz,20110513
530,WEBPXTICK_DT-20110512.gz,20110512
531,WEBPXTICK_DT-20110511.gz,20110511
532,WEBPXTICK_DT-20110510.gz,20110510
533,WEBPXTICK_DT-20110509.gz,20110509
534,WEBPXTICK_DT-20110506.gz,20110506
535,WEBPXTICK_DT-20110505.gz,20110505
536,WEBPXTICK_DT-20110504.gz,20110504
537,WEBPXTICK_DT-20110503.gz,20110503
538,WEBPXTICK_DT-20110502.gz,20110502
539,WEBPXTICK_DT-20110429.gz,20110429
540,WEBPXTICK_DT-20110428.gz,20110428
